id,english_title,japanese_title
1,The Great Wave off Kanagawa,神奈川沖浪裏
2,Fine Wind Clear Morning,凱風快晴
3,Thunderstorm Beneath the Summit,山下白雨
4,Under Mannen Bridge at Fukagawa,深川万年橋下
5,Sundai Edo,東都駿台
6,Cushion Pine at Aoyama,青山円座松
7,Senju Musashi But,武州千住
8,Inume Pass in Kai Province,甲州犬目峠
9,Fujimigahara in Owari Province,尾州不二見原
10,Ejiri in Suruga Province,駿州江尻
11,A Sketch of the Mitsui Shop in Suruga Street,駿河町三井見世略図
12,Sunset Across the Ryōgoku Bridge from the Ommaya Embankment,両国橋夕陽見
13,Sazai Hall Temple of Five Hundred Rakan,五百羅漢寺さざゐどう
14,Tea House at Koishikawa The Morning After Snowfall,礫川雪ノ旦
15,The Tama River in Musashi Province,武州玉川
16,The Sumida River at Onmayagashi,隅田川関屋の里
17,Mount Fuji Seen from the Lake at Hakone,箱根湖水
18,Shichiri Beach in Sagami Province,相州七里浜
19,View of Fuji from Gotenyama at Shinagawa,東海道品川御殿山ノ不二
20,Fuji View Plain in Owari Province,尾州不二見原
21,South Wind Clear Sky (Red Fuji),凱風快晴
22,Mount Fuji Reflecting in Lake Kawaguchi,河口湖の不二
23,The Kazusa Sea Route,上総ノ海路
24,Fuji from the Mountains of Tōtomi,遠江山中
25,Fishermen at Uraga in Sagami Province,相州浦賀
26,Climbers on Mount Fuji,諸人登山
27,Fuji from the Tea Fields of Katakura in Suruga,駿州片倉茶園ノ不二
28,Fuji from Tsukuda Island in Musashi Province,武州佃嶋
29,Fuji from Kanaya on the Tōkaidō,東海道金谷ノ不二
30,Fuji from Nakahara in Sagami Province,相州中原
31,Fuji from the Rice Fields of Omiya,武州大宮
32,Fuji from Lake Suwa in Shinano Province,信州諏訪湖
33,Fuji from the Mountains of Kai Province,甲州山中
34,Fuji from Umezawa in Sagami Province,相州梅沢
35,Fuji from Enoshima,江ノ島
36,Fishermen at Kajikazawa in Kai Province,甲州石班沢
